,GM_DATE,HOME_TEAM,SPREAD_1_AWAY,ODDS_1_AWAY,SPREAD_2_AWAY,ODDS_2_AWAY,SPREAD_3_AWAY,ODDS_3_AWAY,SPREAD_4_AWAY,ODDS_4_AWAY,SPREAD_1_HOME,ODDS_1_HOME,SPREAD_2_HOME,ODDS_2_HOME,SPREAD_3_HOME,ODDS_3_HOME,SPREAD_4_HOME,ODDS_4_HOME
203,2021-11-16,L.A. Clippers,+8,-110,,-,+7½,-110,+10,-175,-8,-110,,-,-7½,-110,-10,+125
204,2021-11-17,Oklahoma City,+3,-110,,-,+2½,-109,+5,-160,-3,-110,,-,-2½,-112,-5,+115
205,2021-11-17,Portland,+3½,-105,,-,+1½,-110,+5½,-140,-3½,-115,,-,-1½,-112,-3½,-115
206,2021-11-17,Phoenix,+8,-110,,-,+8½,-110,+6,+120,-8,-110,,-,-8½,-110,-10,+120
207,2021-11-17,Minnesota,+2½,-110,,-,+2,-108,+2½,-110,-2½,-110,,-,-2,-113,-2½,-110
208,2021-11-17,Milwaukee,+9,-110,,-,+9,-110,+11,-160,-9,-110,,-,-9,-110,-11,+115
209,2021-11-17,Miami,+6½,-110,,-,+8,-110,+6½,-105,-6½,-110,,-,-8,-110,-8½,+125
210,2021-11-17,Brooklyn,+9½,-110,,-,+9½,-110,+11½,-150,-9½,-110,,-,-9½,-110,-11½,+110
211,2021-11-17,New York,+11½,-110,,-,+12,-114,+11½,-110,-11½,-110,,-,-12,-108,-13½,+115
212,2021-11-17,Atlanta,+5,-110,,-,+4½,-109,+6½,-160,-5,-110,,-,-4½,-112,-6½,+115
213,2021-11-17,Charlotte,+1,-110,,-,+1,-112,+1,-110,-1,-110,,-,-1,-109,-1,-110
214,2021-11-17,Detroit,-6½,-110,,-,-6½,-110,-4½,-180,+6½,-110,,-,+6½,-110,+7½,-140
215,2021-11-18,Miami,+6½,-110,,-,+7,-114,+8½,-180,-6½,-110,,-,-7,-107,-4½,-175
216,2021-11-18,Cleveland,-9½,-115,,-,-9½,-110,-10½,-110,+9½,-105,,-,+9½,-110,+10½,-130
217,2021-11-18,Minnesota,+2,-110,,-,+2½,-109,+2,-105,-2,-110,,-,-2½,-112,-3,-110
218,2021-11-18,Memphis,-1,-110,,-,+½,-110,+1,-115,+1,-110,,-,-½,-110,-1,-105
219,2021-11-18,Denver,+7½,-110,,-,+7½,-110,+6½,+105,-7½,-110,,-,-7½,-110,-9½,+120
220,2021-11-18,Utah,+10½,-110,,-,+10½,-110,+12½,-150,-10½,-110,,-,-10½,-110,-12½,+110
221,2021-11-19,Phoenix,+8½,-110,,-,+8½,-110,+9½,-140,-8½,-110,,-,-8½,-110,-6½,-175
222,2021-11-19,Denver,-3½,-110,,-,+1½,-113,-5½,+105,+3½,-110,,-,-1½,-108,+5½,-145
223,2021-11-19,New Orleans,-4½,-110,,-,-4,-109,-6½,+120,+4½,-110,,-,+4,-113,+6½,-165
224,2021-11-19,Milwaukee,+13,-110,,-,+12½,-110,+13½,-140,-13,-110,,-,-12½,-112,-13½,+100
